commit	score	sharpe	max_dd	status	description
b366d4e	0.015504	0.2930	-0.3884	keep	baseline dual SMA 20/50 crossover
5dcd9f2	0.000000	0.3171	-0.4525	discard	SMA 10/30 + RSI(14) filter
cfa6602	0.111502	0.3795	-0.4631	keep	momentum ROC(20) + SMA50 trend filter
8b64e26	0.139120	0.4283	-0.4509	keep	momentum + Bollinger Band mean reversion
cd9e908	0.124023	0.4351	-0.4491	discard	momentum + BB + ATR vol filter
094206d	0.313876	0.5253	-0.4051	keep	momentum + BB + ADX trend strength filter
89c7fdb	0.246211	0.1163	-0.4151	discard	tune: ADX>25, ROC(15), SMA(40)
2c29a91	0.075481	0.5192	-0.4017	discard	momentum + BB + ADX + Williams %R
338cb0b	0.447859	0.4056	-0.3533	keep	momentum + BB + ADX + DI directional confirm
e54655a	0.318506	0.2784	-0.2018	discard	momentum + BB + ADX/DI + volume confirm
acfd838	0.068048	0.0286	-0.3445	discard	momentum + BB + ADX/DI + MACD confirm
2990581	0.353616	0.3760	-0.3838	discard	momentum + BB + ADX/DI + EMA50 trend
f9e7a2a	0.389449	0.2996	-0.3847	discard	SMA 10/50 crossover + ADX/DI + BB
c60fc5e	0.349810	0.3910	-0.3595	discard	ROC(30) + SMA(60) longer lookbacks
8086610	0.545632	1.1317	-0.1917	keep	long-only momentum + ADX/DI + BB
af3ed4c	0.435830	1.0516	-0.2208	discard	long-only momentum + ADX/DI (no BB)
b29a241	0.545632	1.1317	-0.1917	discard	long-only + RSI dip-buy (no effect)
64546aa	0.385162	0.6999	-0.1457	discard	long-only + SMA(200) trend filter
df64b24	0.565277	1.0239	-0.1659	keep	long-only + DI spread>5 filter
e136444	0.591383	0.5282	-0.1616	keep	long-only + DI spread>10 filter
93f5df0	0.553025	0.9928	-0.1251	discard	long-only + DI spread>15 (too strict)
ca1f301	0.491022	0.4813	-0.1619	discard	long-only DI>10 ADX>15 (too loose)
8ad7310	0.492199	0.2214	-0.1775	discard	DI>10 ADX>25
02eb1a8	0.596170	0.4995	-0.1652	keep	long-only SMA50+ADX>20+DI>10+BB (no ROC)
355b431	0.619971	0.6471	-0.1721	keep	long-only SMA50+ADX>20+DI>12+BB
d1f4f5d	0.615309	0.8664	-0.1509	discard	DI>13 (too few trades)
7ac3878	0.557421	0.5783	-0.1776	discard	BB 1.5 std (too wide dip entries)
976b3fb	0.630124	0.6471	-0.1721	keep	long-only + vol regime filter (go flat extreme vol)
e53b5cf	0.619971	0.6471	-0.1721	discard	vol 2.5x (too loose)
3d76cd9	0.530222	0.3390	-0.1683	discard	dual SMA20>SMA50 trend (too few trades)
f98f6f7	0.447548	0.6736	-0.1882	discard	ADX period 20 (too few trades)
4992bc4	0.496850	0.5636	-0.1725	discard	no BB (BB essential for trade count)
ad46f7d	0.622623	0.6437	-0.1721	discard	SMA20 exit signal (marginal)
8976adb	0.430993	0.6771	-0.1684	discard	DI momentum signal (hurt consistency)
6dba23e	0.079267	-0.2417	-0.1355	discard	RSI<70 overbought filter (too restrictive)
838c48a	0.512652	0.4890	-0.1768	discard	Keltner Channel breakout (added noise)
b3671d6	0.598116	0.6248	-0.1712	discard	vol filter 1.8x (too tight)
0d69e01	0.539430	0.3719	-0.1693	discard	ADX rising filter (too restrictive)
9f7c053	0.496101	0.5636	-0.1725	discard	BB dip-buy with DI>0 filter (hurt trades)
bf11fd2	0.603843	0.5324	-0.1795	discard	adaptive DI threshold (slight regression)
a8039b3	0.589411	0.8407	-0.1607	discard	SMA50 pullback entry (hurt consistency)
71fc107	0.613095	0.5525	-0.1675	discard	DI>11 (marginal gain, Sharpe drop)
3b876e6	0.540037	0.6139	-0.2019	discard	ADX>18 (weak trends hurt DD and consistency)
658bfb5	0.527086	0.6190	-0.1721	discard	EMA50 trend (fewer trades, less consistent)
af1d91f	0.697143	0.8219	-0.1490	keep	add secondary ADX>36/DI>6 entry + BB upper breakout
eaf6d10	0.707005	0.8572	-0.1490	keep	smooth DI(3) for BB breakout signal
b4ac2cf	0.706590	0.8659	-0.1490	discard	BB breakout DI threshold 6 (was 8)
36b6340	0.680880	0.9779	-0.1451	discard	secondary ADX threshold 32 (consistency crashed)
e663dd5	0.674533	0.9289	-0.1413	discard	primary DI threshold 13 (consistency dropped)
4fa5a22	0.706021	0.8572	-0.1490	discard	BB breakout DI threshold 10 (marginal regression)
055b072	0.718617	0.8545	-0.1490	keep	BB breakout requires ADX>20 confirmation
0063f91	0.722816	0.8214	-0.1611	keep	secondary ADX threshold 38 (consistency 0.90!)
e9a638d	0.705555	0.9754	-0.1477	discard	secondary ADX 40 (too restrictive, consistency dropped)
897a65e	0.710936	0.9726	-0.1592	discard	secondary DI 5 (consistency dropped)
6199ab6	0.718890	0.7834	-0.1600	discard	secondary DI 7 (marginal regression)
cf8c7fd	0.719021	0.8214	-0.1611	discard	BB breakout DI 7 (marginal regression)
961a25d	0.723077	0.8214	-0.1611	keep	BB breakout DI threshold 9 (marginal improvement)
d808032	0.711342	0.8214	-0.1611	discard	vol filter 2.2x (regression)
2f823d0	0.684502	0.7894	-0.1674	discard	primary ADX 21 (regression)
250fc82	0.599220	0.7471	-0.1852	discard	SMA45 trend (regression)
9ddec61	0.721603	0.8214	-0.1611	discard	DI smoothing 2 (marginal regression)
caec196	0.723077	0.8214	-0.1611	discard	DI smoothing 4 (same score as best)
cf7d274	0.713100	0.8214	-0.1611	discard	disable vol filter (regression)
ce24729	0.693740	0.8002	-0.1611	discard	BB dip-buy ADX confirm (regression)
a602d75	0.716498	0.8397	-0.1601	discard	secondary ADX 37 (consistency dropped)
d169631	0.659998	0.7789	-0.1707	discard	BB std 1.8 (regression)
8739d92	0.553959	0.7440	-0.1911	discard	BB dip-buy positive DI (regression)
f53a9bf	0.709655	0.8214	-0.1611	discard	vol median 126d (regression)
a77ef05	0.725319	0.8214	-0.1611	keep	EMA smoothing for DI (breakthrough!)
d90be5a	0.721603	0.8214	-0.1611	discard	EMA span 2 (regression)
6f288e1	0.723077	0.8214	-0.1611	discard	EMA span 4 (regression)
b2df6cd	0.735962	0.8567	-0.1577	keep	secondary ADX 39 (MASSIVE breakthrough!)
6c4dbab	0.696978	0.8310	-0.1453	discard	primary DI 11 (regression)
